season,rank,name,short_name,matchesplayed,matcheswon,matcheslost,noresult,matchpoints,nrr,for,against,runs_for,overs_for,runs_against,overs_against
2014,2,KKR,KKR,14,9,5,0,18,0.418,2125/264.0,2110/276.3,2125.0,264.0,2110.0,276.3
2014,3,CSK,CSK,14,9,5,0,18,0.385,2272/272.0,2178/273.2,2272.0,272.0,2178.0,273.2
2014,4,MI,MI,14,7,7,0,14,0.095,2180/271.3,2170/273.3,2180.0,271.3,2170.0,273.3
2014,5,RR,RR,14,7,7,0,14,0.06,2155/269.5,2164/273.0,2155.0,269.5,2164.0,273.0
2014,6,Sunrisers Hyderabad,SRH,14,6,8,0,12,-0.399,2102/263.4,2136/255.1,2102.0,263.4,2136.0,255.1
2014,7,RCB,RCB,14,5,9,0,10,-0.428,2093/273.5,2163/268.0,2093.0,273.5,2163.0,268.0
2014,8,DC,DC,14,2,12,0,4,-1.182,1980/263.2,2184/251.0,1980.0,263.2,2184.0,251.0
2013,1,CSK,CSK,16,11,5,0,22,0.53,2461/303.5,2310/305.1,2461.0,303.5,2310.0,305.1
2013,2,MI,MI,16,11,5,0,22,0.441,2514/318.1,2350/315.0,2514.0,318.1,2350.0,315.0
2013,3,RR,RR,16,10,6,0,20,0.322,2405/310.5,2326/313.4,2405.0,310.5,2326.0,313.4
2013,4,Sunrisers Hyderabad,SRH,16,10,6,0,20,0.003,2166/308.5,2206/314.4,2166.0,308.5,2206.0,314.4
2013,5,RCB,RCB,16,9,7,0,18,0.457,2571/301.0,2451/303.1,2571.0,301.0,2451.0,303.1
2013,6,Kings XI Punjab,KXIP,16,8,8,0,16,0.226,2428/305.2,2417/312.5,2428.0,305.2,2417.0,312.5
2013,7,KKR,KKR,16,6,10,0,12,-0.095,2290/313.4,2316/313.1,2290.0,313.4,2316.0,313.1
2013,8,Pune Warriors,PWI,16,4,12,0,8,-1.006,2262/318.4,2519/310.5,2262.0,318.4,2519.0,310.5
2013,9,DC,DC,16,3,13,0,6,-0.848,2234/314.5,2436/306.4,2234.0,314.5,2436.0,306.4
2012,1,DC,DC,16,11,5,0,22,0.617,2365/283.5,2361/306.0,2365.0,283.5,2361.0,306.0
2012,2,KKR,KKR,16,10,5,1,21,0.561,2150/285.1,2032/291.1,2150.0,285.1,2032.0,291.1
2012,3,MI,MI,16,10,6,0,20,-0.1,2313/312.3,2343/312.2,2313.0,312.3,2343.0,312.2
2012,4,CSK,CSK,16,8,7,1,17,0.1,2232/293.3,2144/285.4,2232.0,293.3,2144.0,285.4
